Player,Position,OverallRank,PosRank,Rating
Justin Jefferson,WR,1,1,975
Ja'Marr Chase,WR,2,2,950
Tyreek Hill,WR,3,3,930
Nick Chubb,RB,4,1,925
A.J. Brown,WR,5,4,925
Stefon Diggs,WR,6,5,905
Austin Ekeler,RB,7,2,875
Christain McCaffrey,RB,8,3,850
Cooper Kupp,WR,9,6,805
Bijan Robinson,RB,10,4,805
Travis Kelce,TE,11,1,775
Saquon Barkley,RB,12,5,775
Garrett Wilson,WR,13,7,755
Mark Andrews ,TE,14,2,750
Josh Jacobs,RB,15,6,750
Josh Allen,QB,16,1,730
CeeDee Lamb,WR,17,9,710
Davante Adams,WR,18,8,710
Tony Pollard,RB,19,7,705
Patrick Mahomes II,QB,20,2,680
Jalen Hurts,QB,21,3,680
DeVonta Smith,WR,22,10,680
Derrick Henry,RB,23,8,660
Chris Olave,WR,24,11,655
Joe Mixon,RB,25,10,655
Jahmyr Gibbs,RB,26,9,655
Jaylen Waddle,WR,27,12,635
Rhamondre Stevenson,RB,28,11,610
Amari Cooper,WR,29,13,595
Aaron Jones ,RB,30,12,565
Amon-Ra St. Brown,WR,31,14,565
Tee Higgins,WR,32,15,560
Calvin Ridley,WR,33,16,530
J.K. Dobbins,RB,34,13,525
Miles Sanders,RB,35,14,520
Justin Fields,QB,36,4,510
Darren Waller,TE,37,3,510
Lamar Jackson,QB,38,6,505
Joe Burrow,QB,39,5,505
DeAndre Hopkins,WR,40,17,500
DK Metcalf,WR,41,18,495
T.J. Hockenson,TE,42,4,490
Trevor Lawrence,QB,43,7,485
Kenneth Walker III,RB,44,15,480
Deebo Samuel,WR,45,19,470
Christian Watson,WR,46,20,455
Justin Herbert,QB,47,8,455
Cam Akers,RB,48,16,450
George Pickens,WR,49,22,440
Tyler Lockett,WR,50,21,440
Travis Etienne Jr.,RB,51,17,430
Javonte Williams,RB,52,18,430
James Cook,RB,53,19,430
George Kittle,TE,54,5,410
Diontae Johnson,WR,55,23,405
Alvin Kamara,RB,56,21,385
Najee Harris,RB,57,20,385
Khalil Herbert,RB,58,22,365
Terry McLaurin,WR,59,24,365
Keenan Allen,WR,60,25,365
Mike Williams,WR,61,26,355
Chris Godwin,WR,62,27,350
DJ Moore,WR,63,28,345
Marquise Brown,WR,64,29,325
Isiah Pacheco,RB,65,23,325
Alexander Mattison,RB,66,24,325
Dameon Pierce,RB,67,25,325
Christian Kirk,WR,68,30,311
Jahan Dotson,WR,69,32,310
Michael Thomas,WR,70,31,310
Jerry Jeudy,WR,71,33,305
Breece Hall,RB,72,26,305
Jonathan Taylor,RB,73,27,285
Evan Engram,TE,74,6,280
Zay Flowers,WR,75,34,270
Mike Evans,WR,76,35,265
James Conner,RB,77,28,259
David Montgomery,RB,78,29,245
Deshaun Watson,QB,79,9,240
Jordan Addison,WR,80,36,230
Rashaad Penny,RB,81,30,226
Rachaad White,RB,82,31,220
Brandon Aiyuk,WR,83,37,205
Dalvin Cook,RB,84,32,205
Quentin Johnston,WR,85,38,190
Jamaal Williams,RB,86,33,185
Brian Robinson Jr.,RB,87,34,180
Ezekiel Elliott,RB,88,35,179
Gabriel Davis,WR,89,39,178
Courtland Sutton,WR,90,40,165
Drake London ,WR,91,41,160
Jeff wilson Jr.,RB,92,37,140
AJ Dillon,RB,93,38,140
Samaje Perine,RB,94,36,140
Jaxon Smith-Njigba,WR,95,42,125
Brandin Cooks,WR,96,43,125
Dalton Kincaid,TE,97,7,110
Raheem Mostert,RB,98,39,100
Treylon Burks,WR,99,44,85
Antonio Gibson,RB,100,40,60
Jaylen Warren,RB,101,41,60
Zach Charbonnet,RB,102,42,60
Tank Bigsby,RB,103,43,60
Jakobi Meyers,WR,104,45,60
Kyle Pitts,TE,105,8,55
Daniel Jones,QB,106,11,45
Taysom Hill,TE,107,9,45
Geno Smith,QB,108,10,45
Darnell Mooney,WR,109,46,40
Tyler Allgeier,RB,110,44,20
Michael Pittman Jr.,WR,111,47,20
D'Andre Swift,RB,112,45,20
Aaron Rodgers,QB,113,12,5
Leonard Fournette,RB,114,46,0
Jerick McKinnon,RB,115,47,-20
De'Von Achane,RB,116,48,-20
Cole Kmet,TE,117,10,-34
Zay Jones,WR,118,48,-35
Cordarrelle Patterson,RB,119,49,-60
Kendre Miller,RB,120,50,-60
Greg Dulcich,TE,121,11,-75
Kirk Cousins,QB,122,13,-75
Anthony Richardson,QB,123,14,-75
Devin Singletary,RB,124,51,-80
JuJu Smith-Schuster,WR,125,49,-80
Tyler Conklin,TE,126,12,-90
Donovan Peoples-Jones,WR,127,50,-175
Chigoziem Okonkwo,TE,128,13,-235
Jared Goff,QB,129,15,-240
Juwan Johnson,TE,130,14,-300
Hunter Hentry,TE,131,15,-300
Dawson Knox,TE,132,16,-340
